numTasks,all-local,D1,D1 feasible,pure LLM(B),B feasible,最佳可行方案
5,382.9527,91.5941,1.0,45.5286,1.0,B
10,412.1749,189.0868,1.0,107.4062,1.0,B
15,374.4333,245.4421,1.0,174.5978,1.0,B
20,391.0320,286.9156,1.0,212.0986,1.0,B
25,399.7014,322.9022,1.0,324.3574,1.0,D1
30,417.1505,366.1558,1.0,295.7626,0.0,D1
35,423.3593,390.1028,1.0,323.4007,1.0,B
40,414.6226,397.7710,1.0,349.9716,0.0,D1
45,409.8158,400.7855,1.0,347.8901,0.0,D1
50,421.0855,418.0829,1.0,385.1185,0.0,D1
